"Category","Token","What we believe it means","Hydrocert Job Type","How to handle (Location/Qualifier only)","Example from notes","TQ confidence (%)","Confirmed","Comment"
"freq","M","Monthly — every month","","","Jan - M - 1pts - OT","100%","CORRECT",""
"freq","Q","Quarterly — every 3 months","","","Jun - Q - 2pts - OT, DS - 2 x LP, 2 x Micro","100%","CORRECT",""
"freq","H","Half-yearly — every 6 months","","","Mar - H - 2pts - OT, TI, DS - 3 x LP, 3 x Micro, CWST","100%","CORRECT",""
"freq","A","Annual — once per year","","","Jan - A - 6pts - PT, TI, DS - 4 x LP","100%","CORRECT",""
"freq","W","Weekly — every week","","","Weekly flushing of low used outlets - W - 1pt","100%","CORRECT",""
"freq","BiM","Bi-monthly — every 2 months","","","Feb - BiM - 2pts - OT, CT","82%","CORRECT",""
"domestic","OT","Outlet Temperature — temperature monitoring at each registered hot/cold water outlet. One inspection per outlet job.","Outlet Temperature monitoring","","Apr - M - 1pts - OT / Sep - H - 2pts - OT, TI, DS","100%","CORRECT",""
"domestic","TI","Tank Inspection — cold water storage tank inspection. Includes visual check of tank, lid, insulation, water quality. Always 6-monthly (H).","Cold Water Storage Tank inspection","","Mar - H - 2pts - OT, TI, DS - 3 x LP, 3 x Micro, CWST","100%","CORRECT",""
"domestic","CTI","Cold Tank Inspection — older synonym for TI. Identical meaning. Confirmed in legacy visits.","Cold Water Storage Tank inspection","","H - 4pts - CTI, DS","95%","CORRECT",""
"domestic","CWST (in header)","CWST — Clean and Spray disinfection. ONLY when CWST appears as a token in the header (comma-separated list). If CWST appears after 'from' in a DS description, it's a location, not a service.","Cold water storage tank - Clean and Spray disinfection form","","Mar - H - 2pts - OT, TI, CWST, DS - 3 x LP → CWST in header = Clean & Spray DS - 2 x Micro from CWST → CWST in description = location","95%","CORRECT",""
"domestic","DS","Domestic Sample — umbrella token for water sampling. Total inspections = sum of all LP + Micro + DOMESTIC + POTABLE counts that follow.","Domestic Sample (xN)","","DS - 3 x LP, 3 x Micro = 6 inspections DS - 4 x DOMESTIC Micro, 4 x LP = 8 inspections","98%","CORRECT",""
"domestic","LP","Legionella Pneumophila Sample — count N in 'N x LP' = number of Domestic Sample inspections. Location qualifiers after 'from' are descriptions only — they DO NOT change the count.","Domestic Sample (xN)","","DS - 3 x LP from CWSTs = 3 Domestic Sample inspections 7 x LP from linked CWSTs, 1 x Irrigation Tank, 3 x HWS = 7 LP total","100%","CORRECT",""
"domestic","POST FLUSH LA","Post Flush Legionella Analysis — variant of LP for post-flush/disinfection validation. Used after a system has been flushed and disinfected.","Domestic Sample (Legionella post-flush)","","V75506 — POST FLUSH visit","100%","CORRECT",""
"domestic","Micro","Microbiological Sample — domestic context = Domestic Sample. Cooling context (Suite=COOLING, Cooling Tower, CTM/CTQ/CTW) = Cooling System inspection.","Domestic Sample (domestic) / Cooling System on-site chem testing (cooling)","","DS - 3 x Micro = 3 Domestic Samples 2 X Micro (Suite = COOLING) = 2 Cooling System inspections","98%","CORRECT",""
"domestic","GREY (/ Greywater)","Greywater Sample — sample from greywater/recycled water (e.g. irrigation). Domestic Sample with 'Suite = GREY' context.","Domestic Sample","","Greywater Sampling – 6 x LP and 6 x Micro (Suite = GREY) = 12 Domestic Samples","94%","CORRECT",""
"domestic","DOM","Domestic (sample sub-type) — qualifier (e.g. '4 x DOMESTIC Micro'). Counts toward DS total like LP or Micro.","Domestic Sample","","4 x POTABLE Micro, 4 x DOMESTIC Micro = 8 Domestic Sample inspections","100%","CORRECT",""
"domestic","POTABLE","Potable water sample — counts toward DS total","Domestic Sample","","4 x POTABLE Micro","95%","CORRECT",""
"domestic","MICRO-HC","Microbiological — Healthcare (more stringent)","Domestic Sample (Healthcare)","","V73945 — healthcare site","100%","CORRECT",""
"domestic","GIARDIA","Giardia parasite test — specialty","Domestic Sample","","Hamilton-style sites","100%","CORRECT",""
"domestic","CRYPTO","Cryptosporidium sample — specialty parasite, hospital sites","Domestic Sample","","Hospital sites","95%","CORRECT",""
"domestic","Ralstonia","Ralstonia bacteria test — healthcare sites","Domestic Sample","","V73945 (HC sites)","100%","CORRECT",""
"domestic","GREY SPRAY","Greywater spray system microbiological","Domestic Sample","","V23698 — GREYWATER SPRAY","95%","CORRECT",""
"domestic","PSEUD-SPP (/ Pseudomonas)","Pseudomonas spp. test — counts toward Micro total","Domestic Sample","","4 x Micro (Suite = HYDROCERT-PSEUD-SPP)","90%","CORRECT",""
"domestic","DM / S","Legacy synonyms for DS (used in 2019-2020 visits only). Parse the LP/Micro sub-counts that follow.","Domestic Sample","","Feb - H - 4pts - TI, OT and DM - 4 x Lp and 4 x Micros Feb - H - TI, OT, S - 2 x Micro 2 x LP","92%","CORRECT",""
"domestic","SH / SD","Showerhead Descaling — clean, descale, disinfect showerheads. SD = older synonym, treat identically.","Showerhead descaling","","Jun - H - 2pts - OT, SH, DS - 3 X LP, 1 x Micro Feb-H-3pts-TI, SD, DS","100%","CORRECT",""
"domestic","CT","Calorifier / Water Heater Temperature — monthly temp check on hot water cylinder. NOT cooling tower (see CTM/CTQ/CTW).","Calorifier/Water Heater temperatures","","Jan - M - 2pts - OT, CT / Jan - H - 2pts - OT, CT, CF, TI","99%","CORRECT",""
"domestic","CF","Calorifier / Water Heater Drain Flush — physical drain to remove sediment. Half-yearly or quarterly.","Calorifier/Water Heater drain Flush","","Jan - H - 2pts - OT, CT, CF, TI","99%","CORRECT",""
"domestic","TMV","Thermostatic Mixing Valve Servicing — annual service and failsafe test.","TMV Servicing","","Annual TMV Service - over 4 days - April | 51 TMVs listed","100%","CORRECT",""
"domestic","WF","Water Feature OR Little-Used Outlet Flushing. Determined by context: with chem/pH/conductivity/balance/WFmicro = Water Feature on-site testing. Standalone with no chem context = flushing of little-used outlets.","Water feature - On site chem testing form / Little used outlet flushing","","WF - on-site chem analysis - 1 x WFmicro = Water Feature Weekly flushing - WF standalone = Little Used Flushing","91%","CORRECT",""
"domestic","WFM / WFQ","Water Feature Monthly / Quarterly — on-site chemical testing. Often paired with LP/Micro from water feature (Suite = WFMPSEUD).","Water feature - On site chem testing form","","JAN-M-6pts-CTM – 2xCOOLING TVC, WFM- 1xWFMONTHLY","96%","CORRECT",""
"domestic","H2O2 / H202","Hydrogen Peroxide chemical testing — monitoring tank H2O2 levels (used in continuous disinfection systems). NOT a sample type — an on-site reading test. Found ~14K times across 115K visits.","H2O2 / Hydrogen Peroxide on-site testing (custom job type)","","Jan - M - 2-pts - H202 testing from Main dosing pump, mezz gents WHB, 5th Floor Monthly H202 testing, Monitoring tank, record PPM Level","90%","CORRECT",""
"domestic","CL02 / CLO2","Chlorine Dioxide on-site testing — PPM levels at tanks (target 0.1-0.5ppm) and outlets. On-site reading only. Found ~3K times.","ClO2 / Chlorine Dioxide on-site testing (custom job type)","","Monthly - CL02 testing - 2 x mains tanks, 1 x basement outlet Weekly CLO2 testing","90%","CORRECT",""
"domestic","LRA","Legionella Risk Assessment — full site risk audit. Distinct from sampling/inspection visits. Annual or biennial.","Legionella Risk Assessment","","LRA of current management systems LRA full","85%","CORRECT",""
"closed","CS","Closed System sample — sample from a closed heating/chilled water circuit. Three sub-types by context: default = main circ, 'Remote' keyword = Remote sample, 'on-site chem' keyword = On-Site testing.","Closed system - main circ / Remote / On-Site","","CS - 1 x Chem Basic and 1 x BSRIA Bacti from LTHW CS - 4 X Remote Samples – 8 BSRIA Bacti and 8 Chem Remote","100%","CORRECT",""
"closed","FCU","Fan Coil Unit — remote sampling point inside the closed system. Each FCU = 1 Remote inspection. 'FCU x N' means N units = N Remote inspections.","Closed system - Remote sample (xN)","","4 X Remote Samples – 8 BSRIA Bacti and 8 Chem Remote Basic FCU x4 from LTHW loop","95%","CORRECT",""
"closed","BSRIA BACTI","BSRIA microbiological analysis — UK BSRIA standard bacteriological test. Sample type: Bsria Bacti. Variants: BRSIA, BSRAI, BRSRA = same thing (typos in older notes).","Closed system - main circ sample (Bsria Bacti)","","CS - 4 x BSRIA BACTI from LTHW","100%","CORRECT",""
"closed","CHEM BASIC","Closed System Chemical Basic — standard chemistry analysis on closed system. Sample type: Chem Basic. Product CAR-CS-BASIC.","Closed system - main circ sample (Chem Basic)","","CS - 4 x CHEM BASIC from CHW","100%","CORRECT",""
"closed","CHEM BASIC + NH3","Chem Basic with Ammonia testing — variant including ammonia parameter. Product CAR-CS-BASICNH3.","Closed system - main circ sample (Chem Basic + NH3)","","V142234 — CHEM BASIC+NH3","100%","CORRECT",""
"closed","Chem Remote Full","Closed System Remote Full lab analysis — full chemistry remote sample (independent lab). Distinct from Remote Basic. Product CAR-CS-RFULL-LAB.","Closed system - Remote sample (Chem Remote Full)","","V14723 — full chem remote","100%","CORRECT",""
"closed","POST DOSE","Closed System Post Dosing analysis — validation sample after chemical dosing. Product CAR-CS-POST-DOSE.","Closed system - main circ sample (post dosing)","","Following dosing visits","100%","CORRECT",""
"closed","BSRIA Validation","BSRIA Validation suite — for new or freshly cleaned systems. Sample type: Bsria Validation. Product CSM-BSRIAVAL.","Closed system - main circ sample (Bsria Validation)","","New build commissioning","100%","CORRECT",""
"closed","BSRIA + SRB","BSRIA Bacti combined with Sulphate-Reducing Bacteria analysis. Product CSM-B&SRB.","Closed system - main circ sample (Bsria + SRB)","","V142234 — CLOSED BASIC & SRB","100%","CORRECT",""
"closed","CS On-Site","Closed System On-Site chem testing — engineer tests on-site (no lab). Distinct job type from main circ / remote. Product CAR-CS-OSB.","Closed System On-Site chem testing","","CS on-site chem - 4 x BSRIA BACTI","100%","CORRECT",""
"closed","CHEM BASIC + GLYCOL (BASICGLYCOL)","Chem Basic with Glycol parameter — for closed loops with glycol antifreeze (e.g. ASHP, RAC, condenser systems). Variant of Chem Basic.","Closed system - main circ sample (Chem Basic + Glycol)","","CS - 1 X CHEM BASIC+GLYCOL and 1 X BSRIA BACTI ASHP LTHW CS - 3 x on-site chem (PLUS ONSITE GLYCOL TEST)","95%","CORRECT",""
"closed","CHEM BASIC + NH4 (/ AMMONIUM / BASICNH4)","Chem Basic with Ammonium / Ammonia parameter — similar to CHEM BASIC + NH3 but specifically NH4 ammonium ion testing.","Closed system - main circ sample (Chem Basic + NH4)","","CS (2 x BSRIA VALIDATION and 2 x BASIC + AMMONIUM) CS - 3 x BSRIA BACTI, 3 x CHEM BASIC & NH4","92%","CORRECT",""
"closed","CHEM VALIDATION","Chem Validation sample — full chemistry validation suite (counterpart to BSRIA Validation, often as RAPID variant).","Closed system - main circ sample (Chem Validation)","","1 x CHEM VALIDATION+AZOLES (select RAPID - Chem Validation in Latis app)","95%","CORRECT",""
"closed","CS Dosing (/ DOSING / PRE DOSE / POST DOSE)","Closed System Chemical Dosing — separate visit/inspection type for adding chemical inhibitor to closed loops. Includes pre-dose sample + dose + post-dose validation. Found ~1K times.","Closed System Chemical Dosing","","LTHW DOSING - Closed System Chemical Dosing pre PTSA Dosing Sample VISIT 2 -dosing - 5 litres WTP C51","95%","CORRECT",""
"closed","RESAMPLE","Re-sampling visit — follows up a failed/raised sample with another collection from same locations. Not a base inspection — triggered by failed result.","Same as the original inspection (DS / CS / Pool, etc.)","","To resample the GF 6TH FORM BOYS WHB HWS RESAMPLE following CWST C&D","95%","CORRECT",""
"cooling","TVC (cooling)","Total Viable Count from cooling tower water. Sample type: Cooling TVC. Product COOL.","Cooling System on-site chem testing","","10 X TVC (SUITE=COOLING) from Towers = 10 Cooling System inspections","100%","CORRECT",""
"cooling","TVC (feed)","Total Viable Count from cooling supply/feed point. DIFFERENT job type from tower TVC.","Cooling System Feed on-site chem testing","","1 x TVC from Supply = Cooling System Feed inspection ""feed TVC"" or ""supply TVC"" in notes","100%","CORRECT",""
"cooling","CTW","Cooling Tower Weekly — on-site chemistry monitoring. Product CAR-EC-W. NOT calorifier (CT) — different system.","Cooling System on-site chem testing","","V23350 — CTW visit","100%","CORRECT",""
"cooling","CTM","Cooling Tower Monthly — on-site chemistry monitoring. Product CAR-EC-M.","Cooling System on-site chem testing","","JAN-M-4pts-CTM – 2xCOOLING TVC","100%","CORRECT",""
"cooling","CTQ","Cooling Tower Quarterly — often Feed sample. Different job type from CTM/CTW. Product CAR-EC-Q.","Cooling System Feed on-site chem testing","","Jan - CTW - weeks 1, 2, CTQ (incl. cooling LP and feed samples)","100%","CORRECT",""
"cooling","COOLINGPSEUD","Cooling TVC + Pseudomonas combined test. Product COOLINGPSEUD.","Cooling System on-site chem testing","","High-risk cooling sites","100%","CORRECT",""
"cooling","CTEXTRA","Cooling extra lab chemistry — suspended solids etc. Product CAR-EC-CTEXTRA.","Cooling System on-site chem testing","","V144782 — Suite=CTEXTRA","95%","CORRECT",""
"pool","Pool Micro (/ Pool only)","Pool Microbiological Sample — monthly micro from swimming pool/spa. Lighter version (micro test only).","Pool/Spa Micro/LP Only Sampling","","Feb - M - 1pts - OT, CT, Pool Micro Jan - M - 1pt - from Swimming Pool (Suite = POOL)","94%","CORRECT",""
"pool","Pool Chem (/ P&SM / SM / SQ)","Pool & Spa On-Site Chemical Analysis — full chemistry inc. pH, chlorine, TDS, temperature. P&SM = monthly, SQ = spa quarterly.","Spa/Pool - on-site testing","","Jan - H - 2pts - OT, CT, CF, TI, On site Pool Chem and Micro Jan - M - 2pts P&SM - Pool & Spa Disinfection Chem On site (pH, TDS, Temp...)","95%","CORRECT",""
"pool","Suite=POOL","Pool water analysis sample — when '1 x Micro (Suite=POOL)' appears, this is a pool sample, NOT a Domestic Sample. Product POOL.","Pool/Spa Micro/LP Only Sampling","","V149141 — 1 x Micro (Suite = POOL)","100%","CORRECT",""
"pool","Suite=SPA","Spa water analysis sample — equivalent of Suite=POOL but for spa. Product SPA.","Pool/Spa Micro/LP Only Sampling","","Spa-equipped sites","100%","CORRECT",""
"pool","Suite=LPFILTERED","LP filtered method on pool/spa water. Sample type: Legionella. Product LA-Filter.","Pool/Spa Micro/LP Only Sampling (Legionella)","","V149141 — 1 x LP (Suite = LPFILTERED)","100%","CORRECT",""
"specialty","CAR (RO testing)","RO/Steam Boiler chemistry analysis — reverse osmosis water + steam boiler chem. Product CAR-RO CHECK.","Steam boiler","","V14684 — CAR - RO, FEED, 3 x STEAM BOILERS","95%","CORRECT",""
"specialty","STEAM BOILER","Steam Boiler suite — multiple sub-products: Make-Up, Feed, Condense, Raw water.","Steam boiler","","V14684 — multiple steam boiler samples","100%","CORRECT",""
"location","HWS","Hot Water System — outlets on the hot water distribution","","Count toward LP/Micro total in DS block","","100%","CORRECT",""
"location","CWS","Cold Water System — outlets on the cold water distribution","","Count toward LP/Micro total in DS block","","100%","CORRECT",""
"location","BIB","Bib Tap — external tap used as sampling point","","Count toward LP/Micro total in DS block","","99%","CORRECT",""
"location","RWH","Rainwater Harvesting — collection system used for irrigation/grey flushing","","Count toward DS total; may also generate TI if 'RWH Tank Inspection' specified","","95%","CORRECT",""
"location","RWHT","Rainwater Harvesting Tank — physical tank","","Location within DS or TI inspection","","93%","CORRECT",""
"location","AST","Above Ground Storage Tank — used as OT or sampling point","","OT location qualifier or DS sampling point","","90%","CORRECT",""
"location","BCWS","Boosted Cold Water System — pressurised cold water with pump","","TI location qualifier; DS sampling point","","88%","CORRECT",""
"location","DWT","Domestic Water Tank — cold or hot water storage tank","","DS or TI location qualifier","","87%","CORRECT",""
"location","TCS","Temperature-Controlled System — group of sentinel outlets","","DS location group — count toward LP/Micro total","","78%","WRONG","can also be towards OT - temperature monitoring"
"location","DHWS","Domestic Hot Water System — system identifier","","CS or DS context qualifier — not a separate job","","88%","CORRECT",""
"location","LPS","Legionella Pneumophila Samples — plural of LP","","Same as LP — count each as 1 Domestic Sample","","99%","CORRECT",""
"location","WHB","Wash Hand Basin — outlet location label on OT job","","Not a service token — OT location label only","","100%","CORRECT",""
"location","CSRS","Closed Water System — Remote Sample location label (e.g. CSRS 1, CSRS 2). Identifies which remote sampling point. Found 683 times as itemLocation.","","Location label on Closed System Remote inspection — not a service token.","","100%","CORRECT",""
"location","POU","Point of Use — under-sink water heater or local water supply unit. Outlet location label.","","Location qualifier on OT or DS inspection.","","95%","CORRECT",""
"location","CALD","Calorifier Drain — sampling point on a calorifier drain. Often used for LP/Micro samples.","","Location qualifier on DS or CF inspection.","","95%","CORRECT",""
"location","CONDENSE","Condenser/Condensate — main circulation point on a condenser water system. Used as itemLocation.","","Location label on Closed System inspection (condenser circuit).","","95%","CORRECT",""
"location","GSHP","Ground Source Heat Pump — system identifier for closed loop heat pump systems.","","Location/system context label on CS inspection.","","95%","CORRECT",""
"location","ASHP","Air Source Heat Pump — system identifier (already used in CS Glycol context).","","Location/system context label on CS inspection.","","95%","CORRECT",""
"location","RAC","Refrigerant cooling / Roof AC system — identifier for roof-level AC closed loops with glycol.","","Location/system context label on CS inspection.","","95%","CORRECT",""
"location","PCW","Process Cooling Water — industrial process cooling system identifier.","","Location/system context label on CS inspection.","","95%","CORRECT",""
"location","PHE","Plate Heat Exchanger — closed system component identifier.","","Location/system context label on CS inspection.","","95%","CORRECT",""
"location","SENTINEL","Sentinel outlet — designated outlet for monitoring (furthest/least-used). NOT a service.","","Location label on DS inspection.","","95%","CORRECT",""
"location","FCU x N","FCU pattern (Fan Coil Unit count). Each unit = 1 Remote inspection. Already covered by FCU token.","","See FCU above.","","100%","CORRECT",""
"location","LPHW / SLTHW","Low Pressure Hot Water (LPHW) or Secondary LTHW — system variants of LTHW. Used as system identifier on Closed System inspection.","","Location/system context label on CS inspection.","","95%","CORRECT",""
"location","HIU","Heat Interface Unit — in-apartment closed loop unit (variant of FCU). Each HIU = 1 Remote sample.","","Closed system - Remote sample (per HIU unit).","","90%","CORRECT",""
"location","WSHP","Water Source Heat Pump — closed loop heat pump system identifier (variant of GSHP / ASHP).","","Location/system context label on CS inspection.","","90%","CORRECT",""
"location","SWST","Softened Water Storage Tank — CWST variant for softened water (irrigation, cooling, processed).","","Location qualifier on TI / DS inspections.","","90%","CORRECT",""
"location","MWS","Mains Water Supply — sampling location at incoming mains water.","","Location qualifier on DS inspection.","","90%","CORRECT",""
"location","ORP","Oxidation-Reduction Potential — chemistry measurement parameter (millivolts). Reported alongside pH, TDS for cooling and pool water.","","Parameter on Cooling chem / Pool chem inspection (not separate job).","","90%","CORRECT",""
"qualifier","BSRIA (BRSIA / BSRAI / BRSRA)","Building Services Research & Information Association — UK testing standard. 'BSRIA Bacti' = bacteriological test. Multiple typo variants all mean the same.","","Qualifier within CS or DS. Ignore as a job-type token.","","100%","CORRECT",""
"qualifier","AZOLE","Azole corrosion inhibitor — chemical additive in closed systems (LTHW/CHW). 'Azole testing included' means CS sample also tested for azole levels.","","Qualifier on CS inspection. Does NOT generate additional job.","","99%","CORRECT",""
"qualifier","CHP","Combined Heat & Power — closed system loop type. CHP is a sub-variant of CS.","","CS system sub-type. Treat as CS main circ.","","96%","CORRECT",""
"qualifier","LSI","Langelier Saturation Index — pool/spa chemistry calculation for scale/corrosion balance.","","Qualifier on Pool Chem inspection. Does NOT generate additional job.","","100%","CORRECT",""
"qualifier","OHH","Out of Hours — visit must be done outside normal business hours.","","Scheduling annotation only. Not an inspection.","","95%","CORRECT",""
"qualifier","Suite=POTABLE","Pattern in DS — identifies a Domestic Sample as Potable testing suite. Used as analysis qualifier on Domestic Sample inspection.","","Qualifier on Domestic Sample. Sample type = Potable/Domestic.","","95%","CORRECT",""
"qualifier","Suite=GREYWATER","Pattern in DS — identifies a Domestic Sample as Greywater. Same effect as GREY token.","","Qualifier on Domestic Sample. Sample type = Greywater.","","95%","CORRECT",""
"qualifier","Suite=WFMONTHLY","Pattern on Water Feature monthly micro samples.","","Qualifier on Water Feature inspection.","","95%","CORRECT",""
"qualifier","Suite=BSRIA","Pattern in CS — identifies the BSRIA Bacti analysis suite. Same effect as BSRIA BACTI token.","","Qualifier on Closed System inspection. Sample type = Bsria Bacti.","","95%","CORRECT",""
"qualifier","Suite=CHEM (BASIC / VALIDATION / etc.)","Pattern in CS — specifies the chem analysis variant: BASIC, VALIDATION, BASIC+SRB, BASIC+NH4, BASIC+GLYCOL.","","Qualifier on Closed System Chem inspection — the specific value after = determines the product.","","95%","CORRECT",""
"qualifier","Suite=COOLINGPSEUD","Pattern on Cooling TVC samples that include Pseudomonas test.","","Qualifier on Cooling System inspection. Sample = Cooling TVC + Pseud.","","95%","CORRECT",""
"qualifier","Suite=LP FILTERED","Pattern on LP samples that must be taken in 1L filter bottle — same as Suite=LPFILTERED.","","Qualifier on Pool/Spa LP inspection. Sample = Legionella (filtered).","","95%","CORRECT",""
"qualifier","WFMONTHLY (standalone)","Same as Water Feature Monthly product when used as a sample suite tag.","","Water feature on-site testing.","","95%","CORRECT",""
"qualifier","Suite=BSRIA BACTI","Explicit form of BSRIA Bacti suite (=BSRIA BACTI). Same effect as BSRIA token.","","Qualifier on Closed System inspection. Sample = Bsria Bacti.","","95%","CORRECT",""
"qualifier","Suite=BSRIA VALIDATION","BSRIA Validation suite. Same effect as BSRIA Validation token.","","Qualifier on Closed System inspection. Sample = Bsria Validation.","","95%","CORRECT",""
"qualifier","Suite=CHEM BASIC (/ VALIDATION / POST DOSE / REMOTE FULL RAPID / etc.)","Variants of CHEM suite: BASIC / VALIDATION / VALIDATION RAPID / POST DOSE / REMOTE FULL / REMOTE FULL RAPID.","","Qualifier on Closed System Chem — the specific variant determines the product code.","","95%","CORRECT",""
"qualifier","Suite=LEGIONELLA","Generic Legionella suite tag — alternative to Suite=LPFILTERED.","","Qualifier on Domestic Sample (Legionella).","","95%","CORRECT",""
"qualifier","Suite=POTABLE+DOMESTIC","Combined Potable + Domestic suite tag.","","Qualifier on Domestic Sample (Potable/Domestic).","","95%","CORRECT",""
"qualifier","Suite=GREYWATER SPRAY","Greywater Spray system suite. Same effect as GREY SPRAY token.","","Qualifier on Domestic Sample (Greywater Spray).","","95%","CORRECT",""
"qualifier","Suite=WFMPSEUD","Water Feature Monthly + Pseudomonas combined test.","","Qualifier on Water Feature inspection.","","95%","CORRECT",""
"qualifier","Suite=WFWEEKLY","Water Feature Weekly — new frequency variant for water features.","","Water feature on-site testing (weekly cadence).","","95%","CORRECT",""